#M_sun	sr-84	sr-86	sr-87	sr-88
8	0	0	0	0
1.200000e+01	3.989700e-08	1.065960e-07	4.513700e-08	4.802200e-07
1.500000e+01	1.542110e-08	4.290600e-07	2.756500e-07	5.394400e-06
2.000000e+01	1.607150e-07	1.152110e-06	6.310600e-07	8.898400e-06
2.500000e+01	1.295000e-09	2.807800e-07	2.889600e-07	2.915400e-06
