#M	Z	n-14	n-15
1.200000e+01	2.000000e-02	4.051200e-02	4.192900e-05
1.500000e+01	2.000000e-02	4.226500e-02	7.588800e-05
2.000000e+01	2.000000e-02	5.624000e-02	3.287000e-05
2.500000e+01	2.000000e-02	3.429000e-02	6.406000e-05
