#M_sun	hg-196	hg-198	hg-199	hg-200	hg-201	hg-202	hg-204
8	0	0	0	0	0	0	0
1.200000e+01	1.920690e-10	2.195800e-09	3.302100e-09	4.813500e-09	2.615400e-09	6.501200e-09	2.812800e-09
1.500000e+01	9.049340e-10	4.457800e-09	4.099600e-09	8.198000e-09	3.455300e-09	9.162000e-09	3.485100e-09
2.000000e+01	2.427150e-09	2.779300e-09	4.743000e-09	8.493000e-09	4.184000e-09	1.433300e-08	9.905200e-09
2.500000e+01	1.291000e-11	1.795000e-09	3.091000e-09	5.638000e-09	2.657000e-09	8.215000e-09	1.002200e-08
