#M	Z	cl-35	cl-37
1.200000e+01	2.000000e-02	9.400100e-04	6.563700e-05
1.500000e+01	2.000000e-02	8.410580e-03	4.648360e-04
2.000000e+01	2.000000e-02	2.517620e-03	1.563900e-04
2.500000e+01	2.000000e-02	7.136800e-04	1.008000e-04
