#M_sun	ni-58	ni-60	ni-61	ni-62	ni-64
8	0	0	0	0	0
1.200000e+01	1.906817e-02	6.472350e-03	1.717873e-04	2.645042e-03	5.656240e-05
1.500000e+01	1.041740e-02	8.908200e-04	1.656370e-04	1.093722e-03	1.084610e-04
2.000000e+01	5.438000e-04	1.064300e-03	2.754730e-04	1.014000e-03	4.864580e-04
2.500000e+01	2.549000e-04	7.497000e-04	3.260500e-04	7.388900e-04	3.896600e-04
