#M_sun	in-113	in-115
8	0	0
1.200000e+01	2.333700e-10	5.230200e-09
1.500000e+01	4.229800e-10	5.876000e-09
2.000000e+01	3.904000e-10	6.336000e-09
2.500000e+01	1.117000e-10	3.693000e-09
