#M	Z	h-1	h-2
1.200000e+01	2.000000e-02	5.070800e+00	6.969000e-06
1.500000e+01	2.000000e-02	4.610000e+00	4.697000e-06
2.000000e+01	2.000000e-02	5.049000e+00	0.000000e+00
2.500000e+01	2.000000e-02	1.841000e+00	0.000000e+00
