#M_sun	pd-102	pd-104	pd-105	pd-106	pd-108	pd-110
8	0	0	0	0	0	0
1.200000e+01	4.752100e-10	4.430400e-09	8.704600e-09	1.119800e-08	1.080300e-08	5.318100e-09
1.500000e+01	1.485300e-09	7.462000e-09	9.469000e-09	1.667800e-08	1.303400e-08	6.184000e-09
2.000000e+01	4.293900e-09	6.670000e-09	1.358200e-08	1.910600e-08	1.923000e-08	1.507200e-08
2.500000e+01	1.700000e-10	2.567000e-09	1.056000e-08	1.061000e-08	1.218000e-08	8.056000e-09
