#M_sun	eu-151	eu-153
8	0	0
1.200000e+01	1.765200e-09	1.951600e-09
1.500000e+01	1.777400e-09	1.941000e-09
2.000000e+01	2.323200e-09	2.197000e-09
2.500000e+01	1.510000e-09	1.297000e-09
