#M_sun	mg-24	mg-25	mg-26
8	0	0	0
1.200000e+01	1.041800e-02	9.684800e-04	1.749860e-03
1.500000e+01	2.675100e-02	4.539600e-03	7.619800e-03
2.000000e+01	1.026030e-01	1.321900e-02	2.083700e-02
2.500000e+01	6.078600e-02	1.368260e-02	2.371200e-02
