#M	Z	re-185	re-187
1.200000e+01	2.000000e-02	9.639000e-10	1.525700e-09
1.500000e+01	2.000000e-02	1.064700e-09	1.654700e-09
2.000000e+01	2.000000e-02	1.488900e-09	1.953000e-09
2.500000e+01	2.000000e-02	1.182000e-09	1.156000e-09
