#M_sun	tl-203	tl-205
8	0	0
1.200000e+01	3.360700e-09	7.200400e-09
1.500000e+01	4.629200e-09	8.290000e-09
2.000000e+01	5.966000e-09	1.076800e-08
2.500000e+01	4.387000e-09	6.820000e-09
