#M_sun	se-74	se-76	se-77	se-78	se-80	se-82
8	0	0	0	0	0	0
1.200000e+01	5.843130e-07	9.396400e-07	3.539850e-07	5.244600e-07	7.228200e-07	2.194700e-07
1.500000e+01	1.013900e-07	1.462100e-06	8.121300e-07	6.402890e-06	3.871300e-06	2.186900e-07
2.000000e+01	1.288488e-06	4.398360e-06	5.069750e-06	9.097700e-06	7.842500e-06	5.900020e-06
2.500000e+01	5.680000e-09	7.723000e-07	2.257600e-06	4.457600e-06	4.579500e-06	2.863100e-06
