#M_sun	nd-142	nd-143	nd-144	nd-145	nd-146	nd-148	nd-150
8	0	0	0	0	0	0	0
1.200000e+01	8.860700e-09	4.099100e-09	8.604000e-09	3.022100e-09	6.162800e-09	2.121700e-09	2.026200e-09
1.500000e+01	1.484600e-08	4.560000e-09	9.168000e-09	3.382900e-09	6.680000e-09	2.323000e-09	2.204800e-09
2.000000e+01	1.364600e-08	5.520000e-09	1.342900e-08	4.804000e-09	9.443000e-09	3.598000e-09	3.131400e-09
2.500000e+01	7.080000e-09	3.704000e-09	9.730000e-09	3.821000e-09	6.603000e-09	2.460000e-09	2.281000e-09
