#M	Z	w-180	w-182	w-183	w-184	w-186
1.200000e+01	2.000000e-02	5.301600e-11	1.902600e-09	9.884600e-10	2.242800e-09	1.909200e-09
1.500000e+01	2.000000e-02	6.606300e-11	2.171600e-09	1.146700e-09	2.575200e-09	2.192100e-09
2.000000e+01	2.000000e-02	2.438290e-10	3.809100e-09	1.538800e-09	3.961000e-09	2.534900e-09
2.500000e+01	2.000000e-02	5.700000e-12	2.690000e-09	1.314000e-09	2.503000e-09	1.505000e-09
