#M_sun	ru-96	ru-98	ru-99	ru-100	ru-101	ru-102	ru-104
8	0	0	0	0	0	0	0
1.200000e+01	2.576500e-09	9.226000e-10	6.547700e-09	6.253300e-09	8.623100e-09	1.709400e-08	1.095350e-08
1.500000e+01	2.773200e-09	2.337300e-09	8.213000e-09	1.129800e-08	9.473000e-09	2.095200e-08	1.179900e-08
2.000000e+01	4.444000e-09	3.323600e-09	1.167400e-08	1.231200e-08	1.296000e-08	3.120700e-08	3.194000e-08
2.500000e+01	1.208000e-09	4.690000e-10	8.757000e-09	3.688000e-09	8.590000e-09	2.042000e-08	1.974000e-08
