#M_sun	ar-36	ar-38	ar-40
8	0	0	0
1.200000e+01	7.617560e-03	1.039710e-03	3.388950e-06
1.500000e+01	5.528500e-03	3.326519e-02	5.047456e-05
2.000000e+01	3.947600e-03	3.039570e-03	2.504810e-05
2.500000e+01	7.136000e-04	3.458000e-04	2.736710e-05
