#M_sun	ca-40	ca-42	ca-43	ca-44	ca-46	ca-48
8	0	0	0	0	0	0
1.200000e+01	5.518430e-03	1.145405e-04	8.732840e-06	1.005480e-04	6.664890e-07	1.790200e-06
1.500000e+01	1.764300e-03	5.604590e-04	7.527210e-05	1.312320e-04	4.275241e-06	1.878900e-06
2.000000e+01	9.756000e-04	7.534000e-05	1.339230e-05	2.903100e-05	5.135230e-06	4.067500e-06
2.500000e+01	3.636000e-04	1.829000e-05	7.326000e-06	1.781000e-05	5.723220e-06	3.126000e-06
