#M	Z	bi-209
1.200000e+01	2.000000e-02	8.036800e-09
1.500000e+01	2.000000e-02	8.798000e-09
2.000000e+01	2.000000e-02	1.144900e-08
2.500000e+01	2.000000e-02	7.610000e-09
