#M_sun	gd-152	gd-154	gd-155	gd-156	gd-157	gd-158	gd-160
8	0	0	0	0	0	0	0
1.200000e+01	7.973500e-11	3.754700e-10	1.960100e-09	3.003100e-09	2.074900e-09	3.493700e-09	3.005600e-09
1.500000e+01	8.029100e-11	3.953400e-10	2.042000e-09	3.166500e-09	2.150600e-09	3.696000e-09	3.104400e-09
2.000000e+01	5.881000e-11	3.533000e-10	2.714000e-09	4.757000e-09	2.771000e-09	4.888000e-09	4.101000e-09
2.500000e+01	3.245000e-11	1.895000e-10	2.040000e-09	2.796000e-09	1.846000e-09	3.312000e-09	2.701000e-09
