#M	Z	sm-144	sm-147	sm-148	sm-149	sm-150	sm-152	sm-154
1.200000e+01	2.000000e-02	9.523700e-10	1.878500e-09	1.263300e-09	1.507500e-09	8.669900e-10	3.128000e-09	2.847300e-09
1.500000e+01	2.000000e-02	9.614100e-09	1.938800e-09	1.258900e-09	1.514200e-09	8.747000e-10	3.189000e-09	3.017900e-09
2.000000e+01	2.000000e-02	1.024050e-08	3.922000e-09	1.583900e-09	2.135500e-09	1.016100e-09	4.292000e-09	4.081000e-09
2.500000e+01	2.000000e-02	1.583000e-10	3.227000e-09	7.820000e-10	1.446000e-09	6.100000e-10	3.221000e-09	3.018000e-09
