#M	Z	li-7
1.200000e+01	2.000000e-02	3.920000e-11
1.500000e+01	2.000000e-02	2.817000e-11
2.000000e+01	2.000000e-02	1.300000e-12
2.500000e+01	2.000000e-02	8.950000e-12
