#M	Z	ag-107	ag-109
1.200000e+01	2.000000e-02	6.961500e-09	6.577600e-09
1.500000e+01	2.000000e-02	7.604000e-09	7.558000e-09
2.000000e+01	2.000000e-02	9.843000e-09	9.606000e-09
2.500000e+01	2.000000e-02	6.157000e-09	5.109000e-09
