#M_sun	ne-20	ne-21	ne-22
8	0	0	0
1.200000e+01	1.884200e-02	5.423270e-04	5.591800e-03
1.500000e+01	6.739100e-02	1.459540e-03	1.368780e-02
2.000000e+01	2.592490e-01	1.365770e-03	1.615330e-02
2.500000e+01	1.795200e-01	3.258300e-04	2.176100e-02
