#M_sun	c-12	c-13
8	0	0
1.200000e+01	7.557400e-02	8.841200e-04
1.500000e+01	1.463950e-01	7.989000e-04
2.000000e+01	1.916300e-01	7.027000e-04
2.500000e+01	2.032000e-01	2.359000e-04
