#M_sun	ir-191	ir-193
8	0	0
1.200000e+01	1.135800e-08	1.951500e-08
1.500000e+01	1.089600e-08	1.880900e-08
2.000000e+01	1.245500e-08	2.138000e-08
2.500000e+01	5.600000e-09	9.540000e-09
