#M	Z	sc-45
1.200000e+01	2.000000e-02	2.895870e-06
1.500000e+01	2.000000e-02	3.441590e-05
2.000000e+01	2.000000e-02	7.409900e-06
2.500000e+01	2.000000e-02	6.307300e-06
