#M_sun	cu-63	cu-65
8	0	0
1.200000e+01	5.811100e-05	2.673460e-05
1.500000e+01	7.329100e-05	4.926620e-05
2.000000e+01	2.916630e-04	1.720040e-04
2.500000e+01	3.218570e-04	1.479020e-04
