#M_sun	zr-90	zr-91	zr-92	zr-94	zr-96
8	0	0	0	0	0
1.200000e+01	1.906700e-07	3.542900e-08	5.283600e-08	5.233700e-08	1.278200e-08
1.500000e+01	5.324200e-07	7.364700e-08	1.198200e-07	6.828000e-08	1.883600e-08
2.000000e+01	1.115400e-06	2.621300e-07	3.319500e-07	2.386900e-07	8.711300e-08
2.500000e+01	3.916000e-07	1.648700e-07	1.662100e-07	1.258400e-07	7.856000e-08
