#M_sun	v-50	v-51
8	0	0
1.200000e+01	1.684784e-07	2.802450e-05
1.500000e+01	1.418109e-06	3.176200e-05
2.000000e+01	2.747280e-07	8.346000e-06
2.500000e+01	1.962000e-08	4.323000e-06
