#M_sun	xe-124	xe-126	xe-128	xe-129	xe-130	xe-131	xe-132	xe-134	xe-136
8	0	0	0	0	0	0	0	0	0
1.200000e+01	3.009500e-10	2.627100e-10	4.129200e-09	4.213900e-08	8.237200e-09	3.461000e-08	4.378800e-08	1.934700e-08	1.688800e-08
1.500000e+01	9.771100e-10	2.908510e-09	8.692000e-09	4.131000e-08	1.117100e-08	3.468000e-08	4.716000e-08	2.185000e-08	2.020200e-08
2.000000e+01	1.596300e-09	1.340310e-09	8.206000e-09	4.839000e-08	1.011100e-08	4.128000e-08	5.644000e-08	4.102300e-08	3.460800e-08
2.500000e+01	8.680000e-11	7.910000e-11	2.293000e-09	2.409000e-08	6.566000e-09	2.121000e-08	3.344000e-08	2.968000e-08	3.029000e-08
