#M	Z	kr-78	kr-80	kr-82	kr-83	kr-84	kr-86
1.200000e+01	2.000000e-02	1.100460e-07	2.224630e-07	1.726200e-07	1.589800e-07	6.813800e-07	2.878500e-07
1.500000e+01	2.000000e-02	2.852000e-08	2.978710e-07	1.294440e-06	6.941100e-07	5.547100e-06	1.357810e-06
2.000000e+01	2.000000e-02	2.994050e-07	1.300150e-06	2.199290e-06	1.612070e-06	6.529200e-06	9.492940e-06
2.500000e+01	2.000000e-02	1.586000e-09	4.972000e-08	7.871000e-07	1.025600e-06	3.460500e-06	3.826900e-06
