#M_sun	ce-136	ce-138	ce-140	ce-142
8	0	0	0	0
1.200000e+01	2.968930e-10	1.885800e-10	3.731600e-08	5.074400e-09
1.500000e+01	8.117400e-10	1.406330e-09	4.425000e-08	5.912000e-09
2.000000e+01	2.886430e-09	1.082190e-09	6.395000e-08	7.804000e-09
2.500000e+01	3.390000e-11	4.840000e-11	3.812000e-08	6.808000e-09
