#M	Z	er-162	er-164	er-166	er-167	er-168	er-170
1.200000e+01	2.000000e-02	2.936000e-11	2.558400e-10	3.818900e-09	2.437100e-09	3.107900e-09	1.727000e-09
1.500000e+01	2.000000e-02	5.250200e-10	4.516500e-10	4.169000e-09	2.511800e-09	3.263300e-09	1.880300e-09
2.000000e+01	2.000000e-02	9.379700e-11	6.000900e-10	5.042000e-09	2.846000e-09	4.078000e-09	2.284400e-09
2.500000e+01	2.000000e-02	6.220000e-12	1.339000e-10	2.549000e-09	1.689000e-09	2.753000e-09	1.426000e-09
