#M	Z	hf-174	hf-176	hf-177	hf-178	hf-179	hf-180
1.200000e+01	2.000000e-02	3.887300e-11	4.302700e-10	1.297500e-09	2.188500e-09	9.913400e-10	2.659900e-09
1.500000e+01	2.000000e-02	1.137950e-10	4.586000e-10	1.357700e-09	2.483100e-09	1.059800e-09	2.911300e-09
2.000000e+01	2.000000e-02	1.506350e-10	9.073000e-10	1.720400e-09	3.768900e-09	1.369900e-09	4.140000e-09
2.500000e+01	2.000000e-02	5.230000e-12	3.553000e-10	1.149000e-09	2.954000e-09	9.890000e-10	2.618000e-09
