#M	Z	zn-64	zn-66	zn-67	zn-68	zn-70
1.200000e+01	2.000000e-02	2.640400e-05	7.239280e-05	9.169420e-06	1.166960e-05	8.472900e-07
1.500000e+01	2.000000e-02	1.412100e-05	6.991600e-05	1.126590e-05	5.338100e-05	1.282120e-06
2.000000e+01	2.000000e-02	2.435700e-05	1.820220e-04	7.380080e-05	1.714690e-04	1.998745e-05
2.500000e+01	2.000000e-02	1.533000e-05	1.297480e-04	6.872400e-05	1.289560e-04	2.717790e-05
