#M	Z	al-27
1.200000e+01	2.000000e-02	7.658700e-04
1.500000e+01	2.000000e-02	2.780400e-03
2.000000e+01	2.000000e-02	5.394400e-03
2.500000e+01	2.000000e-02	3.649800e-03
