#M_sun	cd-106	cd-108	cd-110	cd-111	cd-112	cd-113	cd-114	cd-116
8	0	0	0	0	0	0	0	0
1.200000e+01	6.730100e-10	6.244200e-10	6.118800e-09	6.105400e-09	1.189500e-08	5.848800e-09	1.424600e-08	4.262300e-09
1.500000e+01	1.224400e-09	2.565000e-09	1.095700e-08	6.552000e-09	1.564600e-08	6.019000e-09	1.622500e-08	5.628000e-09
2.000000e+01	3.663000e-09	2.285200e-09	1.174200e-08	8.819000e-09	1.816400e-08	8.257000e-09	2.657200e-08	1.046500e-08
2.500000e+01	2.567000e-10	4.368000e-10	3.432000e-09	4.978000e-09	9.640000e-09	4.711000e-09	1.538000e-08	7.559000e-09
