#M	Z	rh-103
1.200000e+01	2.000000e-02	1.047280e-08
1.500000e+01	2.000000e-02	1.190800e-08
2.000000e+01	2.000000e-02	1.848700e-08
2.500000e+01	2.000000e-02	1.390000e-08
