#M	Z	sb-121	sb-123
1.200000e+01	2.000000e-02	5.717600e-09	4.380100e-09
1.500000e+01	2.000000e-02	6.731000e-09	4.898000e-09
2.000000e+01	2.000000e-02	8.283000e-09	6.090000e-09
2.500000e+01	2.000000e-02	5.502000e-09	4.438000e-09
