#M	Z	yb-168	yb-170	yb-171	yb-172	yb-173	yb-174	yb-176
1.200000e+01	2.000000e-02	3.099300e-11	4.853000e-10	1.590400e-09	2.686000e-09	1.809400e-09	3.726600e-09	1.548300e-09
1.500000e+01	2.000000e-02	3.918930e-10	5.593000e-10	1.675100e-09	2.999200e-09	1.860200e-09	3.885000e-09	1.685600e-09
2.000000e+01	2.000000e-02	1.340160e-10	1.226600e-09	1.976500e-09	4.017000e-09	2.235300e-09	5.161000e-09	2.080000e-09
2.500000e+01	2.000000e-02	6.140000e-12	2.335000e-10	1.237000e-09	2.588000e-09	1.349000e-09	3.158000e-09	1.335000e-09
