#M	Z	k-39	k-40	k-41
1.200000e+01	2.000000e-02	4.417610e-04	2.896548e-06	1.306150e-05
1.500000e+01	2.000000e-02	1.947900e-03	1.164986e-04	6.609780e-05
2.000000e+01	2.000000e-02	5.329600e-04	4.290702e-06	2.225900e-05
2.500000e+01	2.000000e-02	8.818000e-05	1.951916e-06	1.906500e-05
