#M	Z	o-16	o-17	o-18
1.200000e+01	2.000000e-02	1.176270e-01	5.717600e-05	2.858590e-03
1.500000e+01	2.000000e-02	8.914300e-01	5.387000e-05	5.540400e-03
2.000000e+01	2.000000e-02	1.501880e+00	6.022000e-05	2.106530e-03
2.500000e+01	2.000000e-02	8.445400e-01	2.216000e-05	9.900000e-05
