#M	Z	he-3	he-4
1.200000e+01	2.000000e-02	2.755300e-04	3.838900e+00
1.500000e+01	2.000000e-02	2.279000e-04	4.193700e+00
2.000000e+01	2.000000e-02	2.048000e-04	5.194000e+00
2.500000e+01	2.000000e-02	4.040000e-05	3.783000e+00
