#M_sun	ti-46	ti-47	ti-48	ti-49	ti-50
8	0	0	0	0	0
1.200000e+01	2.822670e-05	5.601800e-06	4.179650e-04	1.181510e-05	2.370600e-06
1.500000e+01	5.913010e-05	2.175260e-05	7.577100e-05	1.672740e-05	1.066150e-05
2.000000e+01	1.306300e-05	9.480000e-06	3.345000e-05	5.928000e-06	9.824000e-06
2.500000e+01	2.479000e-06	5.819000e-06	1.515000e-05	3.467000e-06	7.640000e-06
