#M	Z	dy-156	dy-158	dy-160	dy-161	dy-162	dy-163	dy-164
1.200000e+01	2.000000e-02	1.049910e-11	2.236800e-11	5.027600e-10	3.048600e-09	4.555100e-09	4.009800e-09	4.889000e-09
1.500000e+01	2.000000e-02	1.395430e-10	1.098390e-10	8.816000e-10	3.192300e-09	4.788000e-09	4.097000e-09	5.030000e-09
2.000000e+01	2.000000e-02	3.686200e-11	6.298200e-11	1.090100e-09	3.804000e-09	6.136000e-09	5.010000e-09	6.184000e-09
2.500000e+01	2.000000e-02	3.880000e-12	8.380000e-12	2.514000e-10	2.443000e-09	3.613000e-09	2.793000e-09	4.038000e-09
