#M	Z	ta-180	ta-181
1.200000e+01	2.000000e-02	6.811510e-13	1.747800e-09
1.500000e+01	2.000000e-02	5.770900e-13	1.808800e-09
2.000000e+01	2.000000e-02	1.062394e-11	2.452400e-09
2.500000e+01	2.000000e-02	4.387870e-12	1.719000e-09
