#M	Z	ga-69	ga-71
1.200000e+01	2.000000e-02	5.094700e-06	1.469800e-06
1.500000e+01	2.000000e-02	6.389500e-06	4.093540e-06
2.000000e+01	2.000000e-02	3.764060e-05	2.004700e-05
2.500000e+01	2.000000e-02	3.694550e-05	1.283130e-05
