#M	Z	cs-133
1.200000e+01	2.000000e-02	1.304600e-08
1.500000e+01	2.000000e-02	1.534100e-08
2.000000e+01	2.000000e-02	1.792900e-08
2.500000e+01	2.000000e-02	1.096000e-08
