#M	Z	au-197
1.200000e+01	2.000000e-02	9.606900e-09
1.500000e+01	2.000000e-02	1.002600e-08
2.000000e+01	2.000000e-02	1.117600e-08
2.500000e+01	2.000000e-02	5.830000e-09
