#M	Z	sn-112	sn-114	sn-115	sn-116	sn-117	sn-118	sn-119	sn-120	sn-122	sn-124
1.200000e+01	2.000000e-02	1.535200e-09	1.180450e-09	3.842800e-10	1.666200e-08	8.974900e-09	2.866800e-08	1.019900e-08	3.921500e-08	6.380600e-09	8.447600e-09
1.500000e+01	2.000000e-02	3.461400e-09	8.930900e-09	1.075400e-09	2.714100e-08	9.630000e-09	3.539500e-08	1.070500e-08	4.448000e-08	8.985000e-09	9.796000e-09
2.000000e+01	2.000000e-02	1.046820e-08	1.168190e-08	5.680000e-10	2.131900e-08	1.148100e-08	3.997000e-08	1.336200e-08	6.864000e-08	1.516300e-08	1.489200e-08
2.500000e+01	2.000000e-02	5.030000e-10	4.560000e-10	2.364000e-10	9.580000e-09	6.460000e-09	2.118000e-08	6.950000e-09	3.485000e-08	1.276400e-08	1.170900e-08
