#M	Z	y-89
1.200000e+01	2.000000e-02	1.295400e-07
1.500000e+01	2.000000e-02	4.942100e-07
2.000000e+01	2.000000e-02	1.309440e-06
2.500000e+01	2.000000e-02	5.346000e-07
