#M	Z	ge-70	ge-72	ge-73	ge-74	ge-76
1.200000e+01	2.000000e-02	5.027200e-06	3.771290e-06	4.630600e-07	1.267250e-06	3.613900e-07
1.500000e+01	2.000000e-02	5.719200e-06	1.461330e-05	1.538360e-06	1.084730e-05	6.538200e-07
2.000000e+01	2.000000e-02	1.164270e-05	3.538200e-05	9.450070e-06	3.505540e-05	1.042968e-05
2.500000e+01	2.000000e-02	3.854600e-06	1.770800e-05	7.434800e-06	2.327500e-05	9.018800e-06
