#M	Z	i-127
1.200000e+01	2.000000e-02	1.282600e-08
1.500000e+01	2.000000e-02	1.369700e-08
2.000000e+01	2.000000e-02	1.648600e-08
2.500000e+01	2.000000e-02	1.061000e-08
