#M_sun	os-184	os-186	os-187	os-188	os-189	os-190	os-192
8	0	0	0	0	0	0	0
1.200000e+01	4.066490e-11	5.492600e-10	5.246500e-10	4.397700e-09	5.035900e-09	8.735700e-09	1.334900e-08
1.500000e+01	5.626700e-11	5.492000e-10	4.715000e-10	4.582000e-09	4.902000e-09	8.700000e-09	1.318700e-08
2.000000e+01	1.766290e-10	9.151000e-10	5.260000e-10	5.639000e-09	5.631000e-09	9.707000e-09	1.455800e-08
2.500000e+01	3.268000e-12	3.329000e-10	2.067000e-10	3.302000e-09	2.702000e-09	5.110000e-09	7.020000e-09
