#M	Z	pb-206	pb-207	pb-204	pb-208
1.200000e+01	2.000000e-02	2.557100e-08	2.764600e-08	2.759000e-09	8.119800e-08
1.500000e+01	2.000000e-02	3.007600e-08	3.104500e-08	4.392700e-09	8.801000e-08
2.000000e+01	2.000000e-02	5.090000e-08	4.182000e-08	6.535000e-09	1.312800e-07
2.500000e+01	2.000000e-02	3.250000e-08	2.983000e-08	1.961000e-09	9.280000e-08
