#M	Z	na-23
1.200000e+01	2.000000e-02	8.559100e-04
1.500000e+01	2.000000e-02	2.434600e-03
2.000000e+01	2.000000e-02	5.695700e-03
2.500000e+01	2.000000e-02	3.304700e-03
