#M_sun	ba-130	ba-132	ba-134	ba-135	ba-136	ba-137	ba-138
8	0	0	0	0	0	0	0
1.200000e+01	7.825000e-16	7.600000e-16	1.843000e-14	5.063000e-14	6.076000e-14	8.754000e-14	5.629000e-13
1.500000e+01	4.548000e-16	4.417000e-16	1.071000e-14	2.943000e-14	3.531000e-14	5.088000e-14	3.272000e-13
2.000000e+01	4.217000e-16	4.096000e-16	9.930000e-15	2.729000e-14	3.275000e-14	4.718000e-14	3.034000e-13
2.500000e+01	7.209000e-16	7.001000e-16	1.697000e-14	4.664000e-14	5.598000e-14	8.065000e-14	5.186000e-13
