#M	Z	tb-159
1.200000e+01	1.000000e-04	1.192000e-14
1.500000e+01	1.000000e-04	6.931000e-15
2.000000e+01	1.000000e-04	6.426000e-15
2.500000e+01	1.000000e-04	1.099000e-14
