#M_sun	mo-92	mo-94	mo-95	mo-96	mo-97	mo-98	mo-100
8	0	0	0	0	0	0	0
1.200000e+01	4.367000e-14	2.781000e-14	4.839000e-14	5.122000e-14	2.965000e-14	7.566000e-14	3.082000e-14
1.500000e+01	2.538000e-14	1.616000e-14	2.812000e-14	2.977000e-14	1.723000e-14	4.398000e-14	1.791000e-14
2.000000e+01	2.353000e-14	1.499000e-14	2.608000e-14	2.760000e-14	1.598000e-14	4.078000e-14	1.661000e-14
2.500000e+01	4.023000e-14	2.562000e-14	4.458000e-14	4.718000e-14	2.732000e-14	6.970000e-14	2.839000e-14
