#M	Z	er-162	er-164	er-166	er-167	er-168	er-170
1.200000e+01	1.000000e-04	6.939000e-17	8.250000e-16	1.744000e-14	1.197000e-14	1.407000e-14	7.935000e-15
1.500000e+01	1.000000e-04	4.033000e-17	4.795000e-16	1.014000e-14	6.958000e-15	8.178000e-15	4.612000e-15
2.000000e+01	1.000000e-04	3.739000e-17	4.446000e-16	9.400000e-15	6.452000e-15	7.583000e-15	4.276000e-15
2.500000e+01	1.000000e-04	6.392000e-17	7.600000e-16	1.607000e-14	1.103000e-14	1.296000e-14	7.310000e-15
