#M_sun	tl-203	tl-205
8	0	0
1.200000e+01	1.389000e-14	3.348000e-14
1.500000e+01	8.073000e-15	1.946000e-14
2.000000e+01	7.486000e-15	1.805000e-14
2.500000e+01	1.280000e-14	3.085000e-14
