#M_sun	eu-151	eu-153
8	0	0
1.200000e+01	8.781000e-15	9.712000e-15
1.500000e+01	5.104000e-15	5.645000e-15
2.000000e+01	4.732000e-15	5.234000e-15
2.500000e+01	8.089000e-15	8.948000e-15
