#M_sun	te-120	te-122	te-123	te-124	te-125	te-126	te-128	te-130
8	0	0	0	0	0	0	0	0
1.200000e+01	7.023000e-16	1.936000e-14	6.808000e-15	3.640000e-14	5.440000e-14	1.456000e-13	2.473000e-13	2.679000e-13
1.500000e+01	4.082000e-16	1.125000e-14	3.957000e-15	2.116000e-14	3.162000e-14	8.461000e-14	1.437000e-13	1.557000e-13
2.000000e+01	3.785000e-16	1.043000e-14	3.669000e-15	1.962000e-14	2.932000e-14	7.845000e-14	1.332000e-13	1.444000e-13
2.500000e+01	6.470000e-16	1.783000e-14	6.272000e-15	3.354000e-14	5.012000e-14	1.341000e-13	2.278000e-13	2.468000e-13
